feature,importance
amount_log,1710.1619873046875
amount,1001.83984375
distance_from_home_km,352.47796630859375
merchant_category,321.347412109375
cvv_match,291.0498352050781
merchant_country,278.5335998535156
mcc_code,214.68470764160156
ip_country,184.00479125976562
tx_count_last_1h,169.7196044921875
account_age_days,146.91610717773438
amount_ratio_vs_avg,122.44495391845703
os,98.90064239501953
is_3d_secure,75.85400390625
device_type,73.13650512695312
transaction_hour,61.60256576538086
is_new_merchant,42.92115020751953
segment_encoded,34.487613677978516
transaction_status,31.371204376220703
avg_amount_last_30d,28.494779586791992
customer_avg_amount,26.33406639099121
is_new_device,17.685279846191406
time_since_last_tx_min,7.094252109527588
customer_tx_count,6.0159196853637695
is_weekend,4.601468086242676
card_tier,4.565296649932861
is_night_transaction,4.142683506011963
tx_count_last_24h,3.2994801998138428
card_bin,2.3556642532348633
transaction_day_of_week,2.167034149169922
currency,0.0
card_type,0.0
